budget,popularity,runtime,revenue,has_collection,has_homepage,is_en,num_of_companies,usa_produced,is_released,release_year,release_month,num_of_spoken_languages,action,adventure,animation,comedy,crime,documentary,drama,family,fantasy,foreign,history,horror,music,mystery,romance,science fiction,thriller,tv movie,war,western
14000000,6.575393,93.0,12314651,1,0,1,3,1,1,2015,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40000000,8.248895,113.0,95149435,1,0,1,1,1,1,2004,8,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
3300000,64.29999,105.0,13092000,0,1,1,3,1,1,2014,10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1200000,3.174936,122.0,16000000,0,1,0,0,0,1,2012,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1.14807,118.0,3923970,0,0,0,0,0,1,2009,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8000000,0.743274,83.0,3261638,0,0,1,0,0,1,1987,8,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14000000,7.286477,92.0,85446075,0,1,1,2,1,1,2012,8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,1.949044,84.0,2586511,0,0,1,0,0,1,2004,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6.902423,100.0,34327391,1,0,1,3,1,1,1996,2,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
6000000,4.672036,91.0,18750246,0,0,1,1,1,1,2003,4,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1000000,14.774066,119.0,117235147,1,0,1,1,1,1,1976,11,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.54375,98.0,22642033,1,0,1,4,1,1,1987,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15000000,20.726578,122.0,356296601,0,1,1,2,1,1,1999,9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
53000000,13.314233,118.0,95226116,1,0,1,4,1,1,2005,3,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102000000,20.666063,145.0,358372926,0,0,1,7,1,1,2002,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
26000000,6.336927,85.0,57891803,0,0,1,3,1,1,2005,8,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,4.183558,111.0,1234254,0,0,1,4,0,1,2013,12,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
8000000,6.496259,96.0,1749457,0,0,1,4,0,1,2011,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
32000000,11.359659,87.0,85167639,1,0,1,7,0,1,2005,8,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
80000000,12.000579,130.0,136159423,0,0,1,4,1,1,1998,4,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
4000000,7.99229,95.0,36690067,1,0,1,2,1,1,1982,8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,7.820787,116.0,100345,1,1,1,3,1,1,2012,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,1.323333,92.0,17011,0,1,1,3,1,1,2011,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
0,7.434577,87.0,4947717,0,1,1,2,0,1,2006,9,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,1.252367,95.0,8403433,0,0,1,4,1,1,1992,10,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
10000000,4.305735,110.0,13835130,0,0,1,4,1,1,1997,9,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
11000000,10.841891,93.0,7847000,0,0,1,3,0,1,2013,9,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
6000000,6.759181,84.0,5849647,0,0,1,4,1,1,1986,8,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45000000,7.81862,89.0,94935764,0,0,1,1,1,1,2002,4,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13000000,16.086919,112.0,426480871,0,0,0,8,0,1,2011,11,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5.69586,117.0,36000000,0,1,0,15,1,1,2005,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
90000000,13.412445,106.0,146936910,0,1,1,7,1,1,2015,10,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,8.254856,125.0,7171,1,0,1,3,1,1,2014,10,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
140000000,9.718111,91.0,258022233,1,0,1,1,1,1,2007,8,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
30000000,8.234382,94.0,40346186,0,1,1,5,1,1,2012,4,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,2.100499,105.0,151559,0,0,1,3,1,1,2000,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
50000000,13.676444,127.0,189859560,0,0,1,4,1,1,1995,3,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
0,0.32926,90.0,92100,0,1,1,0,0,1,2013,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3800000,3.055936,123.0,14873,0,0,1,2,1,1,1965,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,2.941626,118.0,163000,1,1,1,1,1,1,2006,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3000000,9.718713,126.0,16217773,0,0,1,2,1,1,1967,6,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25000000,2.971999,108.0,24362772,0,0,1,2,1,1,2000,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6000000,9.383088,92.0,1020921,0,0,1,3,1,1,2014,9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15000000,5.615303,88.0,47175038,0,1,1,3,1,1,2005,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3906840,2.382068,95.0,4300000,0,0,0,2,0,1,2009,10,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0
80000000,16.646029,91.0,660940780,1,1,1,2,1,1,2006,3,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
44000000,20.328822,167.0,155760117,0,1,1,3,1,1,2015,12,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
0,8.984386,94.0,653951,0,0,1,1,1,1,2017,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38000000,8.105708,118.0,120000000,1,0,1,1,1,1,1994,11,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
560000,1.572904,102.0,1500000,0,1,0,0,0,1,2008,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
12000000,4.473327,160.0,25333333,0,0,1,1,1,1,1965,7,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.012665,97.0,11000000,0,0,1,1,1,1,1980,6,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,5.410839,98.0,17514553,0,1,1,1,1,1,1988,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
20000000,8.759801,107.0,46069568,0,0,1,4,1,1,2016,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9.122718,95.0,36448200,0,0,1,1,1,1,1993,7,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0,2.94798,97.0,1056938,0,1,0,1,0,1,2009,8,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
125000000,17.038824,125.0,238207122,1,0,1,2,1,1,1997,6,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1.882446,95.0,119563,0,1,1,1,1,1,2008,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
14000000,3.909079,95.0,25482931,0,0,1,1,1,1,2002,3,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150000000,23.065078,144.0,599045960,1,1,1,3,1,1,2006,11,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4000000,1.801071,105.0,14400000,0,0,1,1,1,1,1956,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6.381612,124.0,25232289,0,0,1,2,1,1,1998,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
5000000,7.743144,100.0,14000000,1,0,1,3,1,1,1989,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
